學年度,縣市別,幼兒園[人],國小[人],國中[人],高級中等學校-普通科[人],高級中等學校-專業群科[人],高級中等學校-綜合高中[人],高級中等學校-實用技能學程[人],高級中等學校-進修部[人],大專校院(全部計入校本部)[人],大專校院(跨縣市教學計入所在地縣市)[人],宗教研修學院[人],國民補習及大專進修學校及空大[人],特殊教育學校[人]
104,新北市,73526,201970,116039,40566,41358,5773,1434,6816,161853,154484,138,17150,400
104,臺北市,47269,118471,75015,60532,39235,4892,530,7152,267363,244091,42,9174,828
104,桃園市,44367,128444,76299,29529,36060,4300,4963,7623,109869,120426,0,2532,438
104,臺中市,65946,157272,97447,37771,54951,3027,3423,7885,192593,191962,0,10182,953
104,臺南市,40731,92570,58160,25795,24022,6146,4557,2813,132736,135744,0,1601,533
104,高雄市,49321,134949,83539,35600,39574,5499,6502,4915,149988,156110,12,9450,678
104,宜蘭縣,9791,23227,16014,6409,4899,1471,805,732,14725,17952,0,811,129
104,新竹縣,13997,36265,19150,4230,5487,2763,858,1436,17525,23665,0,653,230
104,苗栗縣,10492,29940,18268,5922,8086,2136,1285,1247,21352,21352,0,903,136
104,彰化縣,24073,68920,42767,11939,19919,4790,2755,3975,38990,38990,0,1309,670
104,南投縣,9328,25439,17256,4504,8411,870,1236,960,12458,12458,0,555,126
104,雲林縣,12818,35903,24178,8009,9430,1971,1563,698,26340,27035,0,1145,211
104,嘉義縣,8175,22434,14440,2708,5244,515,1697,460,25071,30424,0,914,0
104,屏東縣,13986,39629,26193,8977,10010,1381,855,1299,42083,42203,0,1406,185
104,臺東縣,4319,11156,7227,513,2349,3224,188,329,5963,6008,0,54,101
104,花蓮縣,6561,16538,10861,4168,4184,2682,93,673,19610,19562,0,284,170
104,澎湖縣,1635,3972,2670,1018,1651,0,60,0,2984,2984,0,33,0
104,基隆市,6091,17341,11496,5081,6555,416,365,656,16077,16077,0,2018,157
104,新竹市,11697,29694,16662,8793,5764,3630,621,1785,51748,51050,0,249,0
104,嘉義市,5918,16104,11640,6358,9204,1660,1846,842,18728,15324,0,268,316
104,金門縣,1851,3679,2144,988,961,0,60,53,4389,4523,0,0,0
104,連江縣,223,443,259,0,0,335,0,0,0,21,0,0,0
105,新北市,77229,195706,106199,41342,39875,5791,1205,6119,157674,151012,136,16599,397
105,臺北市,50079,116496,69178,59008,37749,4659,472,6294,267043,244062,53,8685,815
105,桃園市,47794,124604,70471,29658,36600,3393,4944,7041,106343,116787,0,2675,448
105,臺中市,72269,153062,89408,37764,54626,2042,3634,7160,191224,190633,0,10001,940
105,臺南市,43250,89475,53089,26098,23331,5324,4362,2700,128882,131468,0,1429,508
105,高雄市,54095,129914,76167,35688,39310,4683,5988,4136,148244,154088,27,8797,667
105,宜蘭縣,10247,22349,14783,6383,4743,1399,769,607,14458,17717,0,872,115
105,新竹縣,14995,35692,18044,5089,5565,1803,829,1392,16395,22667,0,607,230
105,苗栗縣,11018,28579,16836,6157,8037,1852,1216,1124,20832,20794,0,707,129
105,彰化縣,25336,65423,39679,12079,19434,4550,2799,3684,37422,37450,0,1160,623
105,南投縣,9873,24180,15716,4461,8426,739,1226,791,12191,12191,13,536,149
105,雲林縣,13080,34012,22308,8080,9369,1810,1527,658,25729,26405,0,1070,208
105,嘉義縣,8490,20810,13153,2729,4953,519,1778,483,24448,29757,0,915,0
105,屏東縣,14616,37482,24014,9246,9664,1091,811,1206,41174,41150,0,1487,189
105,臺東縣,4510,10702,6682,537,2519,2847,182,303,5910,6091,0,37,111
105,花蓮縣,6772,15914,10165,4144,4074,2404,64,598,19426,19510,0,257,171
105,澎湖縣,1685,3756,2452,1000,1668,0,65,0,3018,3018,0,29,0
105,基隆市,6451,16654,10279,5082,6395,383,373,535,15741,15741,0,2118,159
105,新竹市,12544,29534,15683,9016,5783,3649,607,1677,50315,49211,0,282,0
105,嘉義市,6220,15468,10634,6507,9047,1475,1892,777,18457,15053,0,251,329
105,金門縣,1936,3618,2023,1009,1016,0,51,36,4515,4618,0,0,0
105,連江縣,292,455,249,0,0,324,0,0,0,18,0,0,0
106,新北市,81348,192321,100608,40999,37328,5581,917,5336,151475,145054,116,16615,385
106,臺北市,52253,115679,66746,58742,35058,4072,377,5448,263668,241829,81,8120,779
106,桃園市,51322,122590,67375,29822,35420,3032,4770,5965,102983,114101,0,2633,450
106,臺中市,77619,150412,85244,37962,50784,2020,3836,6211,188641,188114,0,9450,897
106,臺南市,46663,87329,50556,25817,22075,4418,4007,2540,124447,126610,0,1397,482
106,高雄市,56968,125900,72395,35657,38273,3347,5579,3557,144540,149969,72,8142,673
106,宜蘭縣,10639,21563,14108,6290,4513,1306,673,529,13546,16707,0,806,116
106,新竹縣,16035,35578,17398,5351,5436,1431,869,1241,15259,20942,0,561,235
106,苗栗縣,11727,27602,15835,6216,7835,1552,1221,934,19806,19674,0,425,135
106,彰化縣,26724,62830,37275,12119,18398,4270,2726,3397,35163,35166,0,1099,565
106,南投縣,10345,23221,14436,4525,8302,623,1114,679,11578,11578,28,530,145
106,雲林縣,13617,32410,21017,7949,8666,1577,1451,667,25198,25932,0,1066,197
106,嘉義縣,8649,19569,12207,2732,4964,495,1583,502,24088,29101,0,886,0
106,屏東縣,15592,35645,22574,9068,9114,964,698,1105,39787,39639,0,1494,189
106,臺東縣,4643,10385,6303,563,2543,2635,188,257,5860,5997,0,28,114
106,花蓮縣,7017,15363,9614,4047,3875,2185,28,538,18762,18819,0,256,158
106,澎湖縣,1766,3524,2362,970,1588,0,64,0,3008,3008,0,18,0
106,基隆市,6909,15944,9635,4696,5852,349,412,437,15211,15211,0,2208,131
106,新竹市,13284,29635,15414,9300,5680,3397,559,1518,48359,47203,0,280,0
