學年度,縣市名稱,鄉鎮市區,學生等級,本校代碼,本校名稱,分校分班名稱,公/私立,地區屬性,班級數,男學生數[人],女學生數[人],原住民學生比率,上學年男畢業生數[人],上學年女畢業生數[人]
108,[01]新北市,坪林區,國小,014682,市立坪林國小,漁光分班,公立,特偏,3,3,1,25,2,1
108,[02]宜蘭縣,大同鄉,國小,024668,縣立四季國小,英士分校,公立,特偏,6,6,12,100,0,1
108,[02]宜蘭縣,大同鄉,國小,024668,縣立四季國小,茂安分班,公立,極偏,4,2,3,100,0,1
108,[02]宜蘭縣,大同鄉,國小,024670,縣立大同國小,松羅分校,公立,特偏,6,22,13,100,2,1
108,[02]宜蘭縣,大同鄉,國小,024670,縣立大同國小,樂水分校,公立,極偏,6,8,9,100,5,3
108,[03]桃園市,復興區,國小,034740,市立羅浮國小,高坡分校,公立,偏遠,0,0,0,0,0,0
108,[04]新竹縣,寶山鄉,國小,044658,縣立寶山國小,山湖分校,公立,偏遠,6,36,37,0,2,3
108,[04]新竹縣,尖石鄉,國小,044667,縣立嘉興國小,義興分校,公立,偏遠,5,10,10,95,2,4
108,[04]新竹縣,尖石鄉,國小,044673,縣立秀巒國小,田埔分校,公立,極偏,6,7,9,100,1,1
108,[04]新竹縣,五峰鄉,國小,044677,縣立花園國小,竹林分校,公立,特偏,6,7,11,100,0,2
108,[05]苗栗縣,三義鄉,國小,054624,縣立育英國小,龍騰分校,公立,偏遠,6,15,15,10,5,3
108,[05]苗栗縣,通霄鎮,國小,054640,縣立烏眉國小,楓樹分校,公立,偏遠,6,29,16,2.22,3,5
108,[05]苗栗縣,三灣鄉,國小,054664,縣立三灣國小,大坪分校,公立,偏遠,5,8,7,0,4,0
108,[05]苗栗縣,泰安鄉,國小,054711,縣立汶水國小,八卦分班,公立,特偏,3,1,4,100,0,0
108,[06]臺中市,和平區,國小,064735,市立博愛國小,谷關分校,公立,極偏,6,12,11,69.57,4,6
108,[06]臺中市,和平區,國小,064736,市立自由國小,烏石分校,公立,極偏,6,7,6,46.15,4,1
108,[07]彰化縣,溪州鄉,國小,074732,縣立成功國小,西畔分校,公立,偏遠,6,12,14,0,3,3
