縣市,縣市別代砠,鄉鎮市區,學校名稱,教學電腦數
南投縣,10008,中寮鄉,中寮國中,14
南投縣,10008,中寮鄉,爽文國中,12
南投縣,10008,仁愛鄉,仁愛國中,60
南投縣,10008,信義鄉,信義國中,24
南投縣,10008,信義鄉,同富國中,38
南投縣,10008,南投市,中興國中,130
南投縣,10008,南投市,南崗國中,77
南投縣,10008,南投市,南投國中,166
南投縣,10008,南投市,營北國中,56
南投縣,10008,南投市,鳳鳴國中,2
南投縣,10008,名間鄉,三光國中,43
南投縣,10008,名間鄉,名間國中,65
南投縣,10008,國姓鄉,北山國中,31
南投縣,10008,國姓鄉,北梅國中,20
南投縣,10008,國姓鄉,國姓國中,13
南投縣,10008,埔里鎮,埔里國中,99
南投縣,10008,埔里鎮,大成國中,25
南投縣,10008,埔里鎮,宏仁國中,72
南投縣,10008,水里鄉,民和國中,11
南投縣,10008,水里鄉,水里國中,6
南投縣,10008,竹山鎮,延和國中,8
南投縣,10008,竹山鎮,瑞竹國中,8
南投縣,10008,竹山鎮,社寮國中,29
南投縣,10008,竹山鎮,竹山國中,37
南投縣,10008,草屯鎮,日新國中,50
南投縣,10008,草屯鎮,旭光高中,137
南投縣,10008,草屯鎮,草屯國中,153
南投縣,10008,集集鎮,集集國中,34
南投縣,10008,魚池鄉,明潭國中,25
南投縣,10008,魚池鄉,魚池國中,29
南投縣,10008,鹿谷鄉,瑞峰國中,35
南投縣,10008,鹿谷鄉,鹿谷國中,30
南投縣,10008,中寮鄉,中寮國小,37
南投縣,10008,中寮鄉,廣福國小,10
南投縣,10008,中寮鄉,永和國小,16
南投縣,10008,中寮鄉,永康國小,24
南投縣,10008,中寮鄉,永樂國小,9
南投縣,10008,中寮鄉,清水國小,13
南投縣,10008,中寮鄉,爽文國小,29
南投縣,10008,中寮鄉,至誠國小,17
南投縣,10008,仁愛鄉,中正國小,22
南投縣,10008,仁愛鄉,互助國小,20
南投縣,10008,仁愛鄉,仁愛國小,24
南投縣,10008,仁愛鄉,力行國小,13
南投縣,10008,仁愛鄉,力行國小翠巒分校,5
南投縣,10008,仁愛鄉,南豐國小,22
南投縣,10008,仁愛鄉,合作國小,10
南投縣,10008,仁愛鄉,平靜國小,12
南投縣,10008,仁愛鄉,廬山國小,11
南投縣,10008,仁愛鄉,春陽國小,22
南投縣,10008,仁愛鄉,法治國小,23
南投縣,10008,仁愛鄉,清境國小,11
南投縣,10008,仁愛鄉,發祥國小,11
南投縣,10008,仁愛鄉,紅葉國小,9
南投縣,10008,仁愛鄉,萬豐國小,14
南投縣,10008,仁愛鄉,親愛國小,26
南投縣,10008,仁愛鄉,親愛國小萬大分校,9
南投縣,10008,信義鄉,久美國小,10
南投縣,10008,信義鄉,人和國小,22
南投縣,10008,信義鄉,信義國小,26
南投縣,10008,信義鄉,同富國小,27
南投縣,10008,信義鄉,地利國小,40
南投縣,10008,信義鄉,愛國國小,16
南投縣,10008,信義鄉,新鄉國小,15
南投縣,10008,信義鄉,東埔國小,20
南投縣,10008,信義鄉,桐林國小,11
南投縣,10008,信義鄉,潭南國小,22
南投縣,10008,信義鄉,羅娜國小,25
南投縣,10008,信義鄉,豐丘國小,9
南投縣,10008,信義鄉,隆華國小,10
南投縣,10008,信義鄉,雙龍國小,14
南投縣,10008,南投市,僑建國小,54
南投縣,10008,南投市,光復國小,42
南投縣,10008,南投市,光榮國小,19
南投縣,10008,南投市,光華國小,60
南投縣,10008,南投市,千秋國小,20
南投縣,10008,南投市,南投國小,130
南投縣,10008,南投市,嘉和國小,26
南投縣,10008,南投市,平和國小,63
南投縣,10008,南投市,康壽國小,53
南投縣,10008,南投市,德興國小,34
南投縣,10008,南投市,文山國小,29
南投縣,10008,南投市,新豐國小,34
